id,label,APAAC5,APAAC10,APAAC12,APAAC19,APAAC15,APAAC4,APAAC14,APAAC16,APAAC3,APAAC6,APAAC20,APAAC13,APAAC7,APAAC2,APAAC11,APAAC18,APAAC23,APAAC9,APAAC29,APAAC39,APAAC1,APAAC24,APAAC8,APAAC34,APAAC17,APAAC28,APAAC40,APAAC32
Negative_587,0,2.442,1.628,2.442,1.085,7.597,3.798,2.984,6.784,1.357,6.511,7.326,2.171,6.784,8.953,13.566,2.442,0.993,2.442,1.49,-3.923,8.411,0.149,7.055,-0.248,3.527,-0.894,-2.383,-0.099
Negative_484,0,0.904,2.009,4.821,0.302,8.737,3.114,1.607,9.942,2.109,4.419,3.615,1.004,2.309,4.62,6.427,0.602,-0.072,1.004,1.518,3.29,7.532,2.458,3.716,3.037,3.515,0.94,4.049,-0.108
Negative_459,0,5.244,4.768,1.907,2.384,4.768,1.907,2.86,4.768,5.721,4.768,5.244,2.86,0.954,4.291,8.582,0.954,1.695,0.954,4.181,4.068,5.721,0.64,2.384,0.414,4.291,3.465,1.055,-0.339
Negative_879,0,2.614,4.826,5.228,0.603,5.228,4.021,3.016,6.435,3.821,6.234,8.848,2.614,5.43,4.424,13.071,1.207,-5.895,1.609,0.536,-3.055,10.859,-5.52,10.055,3.162,7.039,0.375,-1.929,1.286
Positive_169,1,2.697,5.933,6.257,1.941,3.128,5.286,4.53,6.041,5.069,7.658,4.962,2.373,6.148,4.423,9.277,0.971,-0.33,2.804,-2.784,0.425,6.58,-0.047,3.668,0.236,4.638,1.133,2.69,-2.312
Negative_264,0,7.1,1.121,1.121,0.747,6.352,1.121,1.495,5.979,0.0,1.868,5.605,2.615,4.484,2.242,7.1,1.495,3.314,2.99,3.314,0.812,5.979,0.541,6.352,2.401,1.868,1.251,0.44,-0.676
Positive_512,1,0.767,5.365,4.927,4.38,5.037,5.256,4.598,8.54,7.773,6.679,7.007,2.08,4.38,4.38,10.401,2.737,-2.912,1.861,-2.329,-1.376,7.664,-4.288,5.037,1.8,7.007,1.376,-0.635,-2.594
Negative_449,0,1.43,6.197,4.053,0.954,6.794,5.721,1.668,6.078,2.503,5.959,6.912,2.622,2.98,4.768,8.224,0.358,-2.412,2.026,-0.57,0.614,5.959,-0.044,6.555,2.456,5.959,2.149,2.105,-0.0
Negative_236,0,2.836,3.545,1.891,2.6,2.127,2.6,3.781,4.726,2.364,3.072,3.309,1.654,1.181,2.6,6.853,1.654,-0.06,1.181,1.824,2.541,4.726,-1.734,3.309,0.957,3.781,4.813,1.256,0.478
Positive_972,1,0.821,3.448,2.955,1.97,2.627,2.463,3.119,4.926,1.314,3.777,5.09,0.985,2.463,3.612,7.717,0.821,4.418,1.314,3.454,2.209,3.94,3.205,3.612,1.431,5.254,2.085,1.12,4.231
Positive_615,1,0.215,2.148,3.222,1.718,2.148,3.436,1.074,4.295,0.859,4.081,2.363,0.859,0.645,1.933,4.295,0.215,3.756,0.43,1.101,1.446,4.295,4.619,1.933,2.461,3.007,2.633,4.792,1.468
Negative_625,0,4.228,2.276,0.0,0.976,7.805,2.601,4.228,3.577,0.0,6.179,5.203,0.651,3.577,10.081,11.057,1.301,0.572,2.927,-2.716,2.144,13.984,3.811,11.382,0.524,3.252,0.762,-2.906,0.715
Negative_448,0,1.585,4.756,5.814,2.643,4.228,4.756,1.057,6.87,4.228,8.985,6.87,3.171,2.643,3.171,7.399,2.114,0.927,2.643,1.059,2.515,3.7,-2.207,5.814,0.927,5.814,2.471,2.251,-0.353
Negative_256,0,2.768,8.304,6.46,4.613,9.228,9.228,2.768,5.536,3.691,10.149,10.149,1.845,2.768,11.996,12.918,1.845,-10.657,2.768,-14.879,2.63,14.764,0.346,7.381,3.391,9.228,0.83,-2.491,-4.36
Negative_1309,0,1.433,2.788,1.354,2.151,4.699,2.629,3.186,6.292,1.513,1.991,3.504,1.115,1.433,3.265,7.806,0.558,1.311,1.035,2.532,1.251,3.982,0.268,5.655,1.281,3.186,2.085,0.328,1.34
Negative_354,0,2.113,3.141,3.941,2.227,6.283,4.17,2.284,6.968,1.77,4.455,8.51,1.714,3.084,5.254,9.938,1.028,0.897,2.284,-0.493,2.378,7.939,0.538,6.283,2.243,6.34,-1.615,0.763,-1.525
Negative_1165,0,0.543,0.326,1.955,4.561,8.254,3.476,1.629,6.299,1.846,1.629,1.629,2.281,6.408,4.888,1.52,0.326,-0.819,0.435,0.534,-0.392,4.128,2.814,14.229,2.209,4.888,0.926,1.532,3.242
Positive_496,1,1.47,5.306,4.283,2.621,2.301,3.324,3.58,4.986,3.836,4.539,5.306,1.598,3.132,3.132,8.118,1.342,-0.223,1.47,1.116,1.079,4.986,-0.298,4.347,-0.074,4.73,1.563,2.307,1.302
Positive_486,1,1.198,4.313,6.47,3.355,4.074,4.313,5.991,8.148,5.032,7.909,5.512,4.313,4.074,3.594,9.586,0.959,-1.542,1.678,-1.392,4.674,7.429,-2.984,6.47,-0.696,5.032,5.271,2.984,-0.547
Negative_857,0,0.454,3.633,5.448,2.27,5.448,3.633,2.725,4.54,2.27,5.448,4.086,2.725,2.27,5.903,4.086,0.454,1.528,1.362,0.799,-4.654,2.725,1.667,4.086,6.044,5.903,3.404,0.174,-1.528
Negative_1122,0,1.634,3.268,5.72,4.903,4.085,2.451,3.268,12.256,4.085,2.451,6.537,1.634,4.903,3.268,13.073,4.903,4.221,2.451,-2.764,1.055,6.537,3.166,7.354,-0.05,5.72,1.91,-0.302,-3.568
Negative_1216,0,0.353,1.414,1.767,0.707,9.896,4.948,1.414,3.181,1.767,6.008,2.474,1.06,2.828,5.301,5.654,1.767,2.057,1.767,2.708,-0.206,6.008,3.051,7.775,-0.411,2.474,2.228,2.811,2.125
Negative_1036,0,8.382,4.192,9.43,6.286,7.335,5.239,5.239,11.525,3.143,7.335,6.286,3.143,4.192,6.286,10.478,2.096,-7.651,7.335,-1.331,-5.323,7.335,-5.456,10.478,3.992,7.335,4.857,-6.254,-0.333
Negative_211,0,0.894,1.788,0.894,0.894,3.575,5.363,1.788,5.363,4.469,10.726,0.894,2.681,5.363,2.681,8.938,0.0,2.782,2.681,-4.711,-3.45,7.151,2.114,7.151,7.455,0.894,5.823,-0.742,2.782
Negative_515,0,1.419,2.837,4.256,1.419,2.128,0.0,2.128,4.965,6.384,2.837,5.675,0.71,2.128,2.837,9.222,0.0,0.568,2.128,2.052,5.997,4.965,1.894,2.837,-0.316,4.256,-3.314,4.735,-2.336
Negative_1187,0,4.425,5.901,3.688,2.582,3.319,5.163,2.213,8.482,1.844,4.794,2.582,0.737,4.057,4.794,8.851,0.369,-1.329,2.582,1.095,-2.267,3.319,-0.547,4.425,-0.352,4.057,2.346,-0.313,2.697
Negative_7,0,1.249,2.499,1.249,0.0,6.871,3.123,1.249,7.496,1.874,1.249,4.373,0.0,3.748,8.745,9.37,0.624,5.345,1.249,-2.13,3.679,8.745,4.105,9.995,-0.116,3.748,4.26,1.51,4.299
Positive_439,1,2.708,4.738,8.122,8.122,7.446,8.799,4.738,6.769,5.416,6.769,9.477,2.031,8.799,5.416,21.66,1.353,1.208,1.353,4.762,8.173,10.154,-6.894,12.183,-1.208,6.092,0.711,0.071,-6.326
Positive_543,1,0.755,3.02,7.548,1.51,0.755,6.039,4.529,5.284,0.755,6.039,4.529,3.02,2.265,0.755,7.548,0.0,-3.012,0.755,-0.896,0.932,6.039,-1.936,6.039,0.359,4.529,9.322,8.067,-0.502
Negative_701,0,1.503,2.629,2.103,1.953,7.438,4.132,2.405,7.513,2.855,6.311,7.213,0.902,4.057,5.86,10.82,1.728,2.191,2.179,-2.844,1.445,7.513,2.471,7.739,0.886,6.386,1.958,1.445,1.305
Positive_335,1,2.187,3.5,5.103,3.354,4.229,4.666,3.354,4.082,2.917,7.145,5.103,2.187,2.77,5.541,7.874,1.02,-2.797,1.604,-0.439,-2.437,3.5,-2.557,5.687,4.035,4.082,3.276,0.28,-0.08
Positive_1167,1,0.986,2.254,1.831,1.831,1.479,2.465,4.085,4.015,1.338,3.592,3.662,1.62,1.62,2.888,4.93,0.986,1.437,1.057,2.979,2.09,3.944,1.28,5.423,2.404,2.254,3.005,2.718,2.378
Positive_27,1,3.048,6.097,4.675,5.284,9.348,5.081,5.081,8.332,4.268,7.926,8.739,2.845,6.3,5.893,12.804,1.829,-0.376,4.268,-2.382,-0.502,8.332,-0.313,8.739,-0.752,6.503,-3.072,-1.129,-5.141
Positive_1168,1,0.392,5.097,8.625,3.528,3.528,4.704,3.528,5.881,2.744,8.232,4.312,3.137,2.744,4.704,12.545,0.784,-1.784,1.176,0.914,-0.218,5.881,0.653,3.137,1.567,2.352,1.567,-0.087,-1.218
Positive_1200,1,1.492,4.328,2.686,2.239,1.791,0.895,3.582,4.478,2.537,1.642,3.88,1.492,0.746,2.686,7.612,0.895,4.157,1.045,3.873,1.214,2.686,3.073,2.089,0.232,2.836,2.918,0.826,0.775
Positive_992,1,1.849,6.413,8.262,3.946,4.069,6.413,5.549,4.932,5.302,9.248,6.413,4.439,4.686,3.946,9.988,1.356,-4.401,3.206,-4.454,0.689,6.536,-3.075,4.686,2.015,4.809,-0.848,1.432,1.06
Negative_1126,0,1.834,2.445,2.139,2.445,6.111,4.278,2.75,5.194,2.139,5.5,6.111,1.222,4.278,6.111,9.473,1.834,0.603,1.834,1.465,3.705,9.779,0.431,7.334,-1.594,3.361,-1.336,3.016,-3.447
Negative_594,0,1.588,0.529,1.411,0.882,5.645,2.117,0.176,4.411,0.353,2.117,2.646,0.353,1.941,5.116,6.704,0.882,1.691,1.059,2.966,1.041,7.586,0.859,3.881,3.044,2.646,2.628,1.874,0.442
Negative_740,0,0.714,2.38,4.52,0.357,6.662,1.785,0.833,7.852,2.023,4.877,4.758,2.023,5.115,5.234,6.9,0.476,-0.64,0.952,1.77,0.489,7.495,2.071,4.401,0.941,5.948,3.389,3.087,2.108
Positive_661,1,1.458,2.106,4.537,1.458,7.13,3.565,3.889,4.537,2.106,5.834,6.32,1.135,2.917,5.834,8.588,1.458,1.224,1.135,0.169,-1.52,7.13,0.549,7.616,4.939,5.672,2.195,-0.169,-1.098
Positive_1130,1,2.79,4.091,6.324,3.348,4.463,5.394,1.859,7.997,2.604,5.951,4.836,3.348,3.162,3.72,9.671,0.372,-2.726,2.417,0.724,-1.405,5.579,-1.746,4.278,1.022,2.975,1.235,-0.639,2.513
Negative_217,0,3.709,2.539,7.42,5.272,11.129,4.686,2.734,6.053,2.343,6.248,4.491,2.539,3.709,5.467,6.639,0.781,0.185,3.124,-0.602,4.396,3.709,0.833,3.319,1.157,6.639,-3.008,7.867,1.481
