id,label,PAAC5,PAAC15,PAAC10,PAAC4,PAAC12,PAAC19,PAAC3,PAAC22,PAAC14,PAAC2,PAAC16,PAAC25,PAAC26,PAAC21,PAAC6,PAAC30,PAAC20,PAAC7,PAAC11,PAAC27,PAAC13
Positive_588,1,0.191,1.147,2.295,1.53,3.824,2.295,3.251,4.724,1.721,1.338,5.162,4.885,4.99,4.716,3.633,4.64,4.015,0.765,6.883,4.922,1.53
Positive_55,1,0.476,3.649,3.649,3.014,3.807,1.428,1.428,4.935,1.428,2.062,3.173,5.011,5.085,4.968,3.014,4.901,3.966,0.793,5.235,4.876,0.634
Negative_1030,0,2.033,2.358,2.764,2.277,1.463,1.789,0.976,4.418,3.334,3.171,5.285,4.865,4.59,4.471,2.033,5.031,3.415,2.114,4.634,4.516,0.732
Negative_923,0,1.697,2.376,2.716,1.697,1.018,2.037,1.018,4.78,3.395,2.376,4.753,4.838,4.491,4.557,1.358,4.372,3.734,2.037,8.827,4.658,2.376
Negative_916,0,1.512,3.987,0.963,2.2,1.787,1.787,2.2,4.89,1.65,2.612,3.3,4.803,4.872,4.782,2.887,4.99,2.887,1.787,3.712,4.911,0.963
Positive_708,1,0.585,1.9,1.974,2.997,2.632,2.266,1.828,5.097,2.047,2.778,3.289,5.223,5.355,4.892,4.094,5.337,3.582,1.9,4.751,5.05,1.316
Positive_898,1,1.376,2.201,3.37,2.408,3.508,1.513,1.857,4.968,1.238,2.201,4.265,5.102,4.853,4.871,3.99,4.82,2.683,2.683,6.26,4.899,1.72
Positive_11,1,2.397,2.288,4.25,2.615,2.397,1.853,3.16,4.942,1.417,2.724,5.23,4.737,4.832,4.76,2.506,4.661,3.923,1.417,2.397,5.113,0.763
Positive_290,1,0.796,2.46,2.315,3.979,2.604,1.302,2.676,4.848,1.736,2.676,5.715,4.821,4.72,4.411,3.834,4.714,2.749,2.676,5.498,4.714,1.881
Negative_31,0,1.356,6.285,1.232,1.972,0.986,4.067,3.081,4.381,1.356,2.588,5.792,4.536,4.197,4.383,2.464,4.225,3.574,3.45,2.341,4.154,2.095
Positive_883,1,0.409,2.456,3.684,3.343,2.592,1.774,1.705,4.996,1.569,3.274,3.888,4.887,5.114,4.894,4.025,5.29,3.206,1.569,3.547,5.08,0.614
Positive_248,1,0.32,2.243,3.845,2.243,4.165,2.243,2.563,4.939,2.563,1.922,3.525,5.145,5.441,5.316,3.525,5.711,3.525,1.602,3.204,4.959,1.602
Positive_701,1,0.746,1.987,2.981,3.23,2.733,3.23,2.236,5.408,1.987,2.981,2.484,5.368,5.3,4.659,2.733,5.31,2.484,1.739,6.211,5.188,1.491
Negative_1111,0,0.439,3.072,1.317,3.072,0.0,0.878,0.0,5.634,3.95,4.389,3.511,5.719,5.099,4.998,3.072,5.774,2.194,2.194,3.511,5.03,0.878
Negative_738,0,1.881,6.583,0.0,0.0,0.94,0.94,2.821,4.331,3.762,1.881,6.583,3.504,3.567,3.996,3.762,3.86,5.643,5.643,5.643,4.509,2.821
Positive_407,1,0.988,2.526,3.076,2.636,3.295,2.416,1.757,5.198,2.965,2.636,3.076,5.471,5.101,4.962,3.954,4.994,2.087,2.197,5.492,4.637,0.33
Positive_914,1,0.837,4.437,2.763,2.344,1.34,1.089,1.423,4.976,2.931,3.935,2.931,5.168,4.588,4.668,3.684,5.004,3.265,2.009,5.191,4.652,0.753
Negative_714,0,1.141,3.88,1.826,2.054,1.597,2.51,0.684,5.15,0.913,5.021,3.652,5.216,5.298,5.0,1.141,5.087,4.792,1.826,3.652,4.859,2.282
Negative_279,0,1.115,1.859,2.601,2.601,1.859,1.859,1.115,5.044,3.345,1.859,2.601,5.094,4.481,4.361,3.345,5.387,4.088,1.487,6.69,5.084,1.115
Positive_950,1,1.496,2.767,2.393,3.44,4.412,1.421,1.87,4.89,3.29,2.393,2.692,4.935,5.05,4.977,3.664,4.882,3.14,1.87,3.514,5.171,1.57
Positive_278,1,0.378,2.143,2.647,2.395,4.16,2.017,2.143,5.36,2.521,2.017,2.521,5.038,5.263,5.018,4.16,5.018,3.782,2.395,4.033,4.882,1.387
Positive_871,1,0.0,3.346,3.089,3.346,0.257,1.802,0.515,5.602,0.772,4.634,2.832,4.712,5.97,4.734,3.089,5.237,3.346,0.772,4.634,5.403,1.287
Negative_626,0,3.849,5.033,1.48,2.96,1.184,3.257,1.184,4.914,2.072,3.257,3.552,4.286,4.329,4.746,4.145,4.218,3.257,4.737,5.033,4.657,0.592
Negative_408,0,0.51,2.805,0.765,1.785,1.147,0.765,1.275,5.753,1.657,4.59,3.06,5.126,5.293,4.999,3.315,5.824,2.805,2.805,8.032,5.202,0.382
Positive_76,1,2.127,2.836,3.12,2.411,4.538,0.851,1.702,4.866,2.269,1.56,2.978,4.683,4.582,4.962,2.695,4.478,5.531,0.851,4.113,4.855,1.134
Positive_67,1,1.251,4.042,2.117,1.892,2.181,1.187,2.085,4.684,1.668,2.759,4.491,4.825,4.775,4.768,3.272,4.918,2.887,2.021,5.26,4.822,1.315
Negative_627,0,1.72,4.065,1.094,2.188,1.407,0.938,1.407,4.97,2.501,4.065,3.127,5.146,4.667,5.148,2.032,5.221,2.345,2.501,7.973,5.153,0.938
Negative_1060,0,2.469,2.469,0.617,0.617,3.086,1.234,3.086,5.283,3.086,4.32,3.086,4.339,4.707,5.057,0.0,5.223,3.086,3.086,8.641,5.218,3.086
Positive_324,1,0.624,2.496,2.674,2.228,3.209,1.783,1.605,4.905,3.031,2.496,4.19,5.209,4.879,4.426,2.853,5.097,4.101,1.605,6.062,4.728,1.159
