id,label,C,P,I,K,D,Y,F,S,N,E,V,Q,R,L
Positive_17,1,4.639,4.639,7.99,3.093,3.866,3.866,5.67,6.701,3.866,3.093,8.247,3.866,4.639,10.825
Positive_939,1,1.279,4.158,5.65,5.757,4.371,2.772,4.371,7.783,4.691,6.29,7.143,3.625,6.503,8.742
Negative_794,0,3.736,5.172,4.598,5.747,4.31,2.874,3.448,5.172,4.023,6.609,4.023,5.747,6.897,11.207
Negative_1238,0,4.0,3.385,2.462,4.923,4.923,5.231,6.462,8.308,5.231,4.0,4.923,3.385,5.846,6.154
Negative_731,0,3.0,9.0,2.0,4.0,4.0,5.0,3.0,5.0,1.0,8.0,6.0,4.0,8.0,12.0
Positive_490,1,1.542,2.98,7.605,5.036,5.139,2.878,6.269,6.166,3.186,8.941,8.941,2.261,4.111,8.119
Negative_88,0,1.914,6.459,4.785,3.828,3.828,2.871,4.545,13.158,3.11,5.502,6.22,5.263,4.545,11.483
Negative_1014,0,9.069,6.205,2.387,5.967,4.057,2.864,3.819,7.876,5.012,6.921,4.296,4.773,5.728,7.16
Positive_1194,1,2.479,5.785,4.408,5.785,4.683,2.755,4.408,4.683,1.928,9.642,6.887,2.204,6.061,7.989
Negative_345,0,2.454,4.908,0.613,1.534,3.988,2.454,1.84,9.509,0.613,9.202,4.908,4.908,14.11,13.497
Negative_50,0,1.639,9.836,1.639,3.279,6.557,1.639,1.639,8.197,3.279,4.918,6.557,4.918,14.754,4.918
Negative_290,0,2.627,5.954,3.853,2.802,7.356,3.327,2.802,9.107,1.226,6.13,3.152,3.678,8.406,10.333
Positive_1216,1,0.197,5.512,2.953,5.512,4.134,2.559,4.724,7.283,2.559,8.661,6.496,4.724,7.283,10.827
Negative_868,0,2.016,7.661,2.419,2.419,2.419,1.613,4.839,8.065,3.226,4.839,8.468,6.855,4.839,10.887
Positive_669,1,1.604,4.813,2.674,5.882,4.278,3.209,5.882,5.882,3.209,5.348,9.626,6.417,4.813,9.091
Negative_532,0,3.846,5.556,0.427,6.41,5.983,2.137,3.846,8.12,0.855,8.974,6.41,6.838,4.701,10.256
Positive_525,1,2.502,3.396,6.971,6.792,4.826,2.86,4.915,5.809,5.809,6.256,5.183,4.2,3.664,12.422
Negative_289,0,2.632,12.281,1.754,2.632,2.632,1.754,3.509,18.421,0.877,4.386,1.754,2.632,4.386,5.263
Negative_1245,0,1.73,8.131,3.287,3.806,3.979,4.498,4.498,7.439,3.979,4.671,7.093,3.287,5.882,13.495
Positive_261,1,1.399,0.699,6.993,4.196,2.797,2.098,0.0,5.594,6.993,6.993,2.797,11.189,3.497,15.385
Negative_340,0,3.279,9.29,6.557,8.197,2.186,2.186,3.279,7.65,6.557,6.011,5.464,4.918,3.279,8.743
Positive_755,1,0.629,3.354,6.08,7.338,5.241,1.677,2.935,4.822,2.096,6.08,11.74,3.145,2.516,8.176
Negative_780,0,0.306,13.456,2.141,8.257,1.835,1.529,2.752,8.257,3.976,4.281,4.893,5.199,6.116,9.786
Negative_1082,0,7.778,2.222,6.667,5.556,3.333,1.111,5.556,4.444,4.444,8.889,3.333,4.444,3.333,12.222
Positive_617,1,1.569,5.49,4.706,3.529,4.314,2.353,5.882,9.02,3.529,7.059,9.02,3.137,1.569,10.98
Negative_302,0,3.03,15.758,0.0,2.424,2.424,0.606,6.061,8.485,2.424,3.636,3.03,3.636,15.152,9.091
Positive_509,1,1.583,5.805,6.86,5.541,5.805,4.749,3.43,4.749,3.43,6.86,4.749,4.485,6.069,11.346
Positive_120,1,2.786,4.735,11.421,6.407,3.343,4.735,7.799,6.964,5.014,1.95,5.85,1.671,3.621,12.813
Negative_266,0,3.62,5.656,6.335,6.335,6.109,2.941,3.167,6.561,3.394,7.466,4.977,6.561,4.299,9.729
Positive_730,1,0.213,1.706,4.691,5.33,5.117,1.919,2.559,9.808,4.051,9.595,4.904,5.757,7.676,10.874
Positive_721,1,2.243,4.766,6.075,7.57,5.607,3.458,4.486,6.075,4.766,6.916,6.822,4.112,4.579,12.056
Positive_820,1,1.84,6.135,7.055,7.055,4.908,4.294,3.681,5.521,5.521,7.669,6.748,3.067,5.521,9.509
Negative_1070,0,5.769,2.692,4.231,4.615,5.0,2.692,1.923,8.846,3.462,4.615,4.615,5.0,5.769,13.077
Negative_762,0,2.143,8.673,1.939,2.245,3.878,1.02,2.245,7.551,1.327,6.633,7.653,3.469,7.143,16.224
Negative_673,0,0.291,14.251,2.666,3.684,2.424,0.339,1.6,11.682,7.077,3.248,6.253,11.876,3.054,7.029
Positive_661,1,1.727,8.445,2.495,5.374,4.223,1.727,4.607,5.374,2.495,6.91,7.486,3.455,6.91,10.173
Negative_612,0,2.041,5.442,5.442,6.122,3.401,2.041,2.041,11.565,4.082,3.401,7.483,5.442,2.041,15.646
Negative_347,0,3.292,9.053,1.646,0.823,3.292,0.823,3.292,4.938,1.646,4.938,10.7,6.173,10.7,11.523
