id,label,_NormalizedVDWVC1,_PolarityC2,_NormalizedVDWVT23,_HydrophobicityC2,_NormalizedVDWVC3,_ChargeC3,_ChargeD2001,_SolventAccessibilityD3001,_HydrophobicityD3001,_PolarityD1001,_HydrophobicityT13,_SecondaryStrD1001,_SecondaryStrC2,_PolarizabilityC3,_SolventAccessibilityC3,_PolarizabilityT13,_PolarizabilityD3001,_NormalizedVDWVC2,_PolarityT13,_NormalizedVDWVD3001,_PolarizabilityC2,_PolarityD3001,_ChargeT23,_SecondaryStrD2001,_ChargeC2,_SolventAccessibilityC2,_SecondaryStrT12,_PolarizabilityD2001,_SolventAccessibilityT12,_SolventAccessibilityD2001,_ChargeT13,_SecondaryStrC3,_SolventAccessibilityD1001,_NormalizedVDWVD1001,_HydrophobicityC1,_NormalizedVDWVD2001,_PolarityC1,_SecondaryStrT13,_SecondaryStrT23,_PolarityC3,_HydrophobicityD2001,_HydrophobicityD1001,_PolarizabilityC1,_ChargeD1075,_HydrophobicityC3,_SolventAccessibilityT13,_ChargeD3001,_SecondaryStrD3001,_PolarityD2001,_PolarityT23,_ChargeD1050,_SecondaryStrD1075,_SolventAccessibilityC1,_PolarizabilityD1001,_ChargeT12,_SecondaryStrC1,_ChargeD1025,_ChargeD3100,_PolarityD1025,_ChargeC1,_SecondaryStrD2075,_PolarityT12,_ChargeD3075,_PolarizabilityT23,_SecondaryStrD2025,_NormalizedVDWVD3050,_ChargeD3050,_SecondaryStrD3050,_ChargeD3025,_NormalizedVDWVD3025,_HydrophobicityT12,_PolarityD1050,_SolventAccessibilityD2075,_PolarizabilityD3075,_PolarizabilityD1050,_SolventAccessibilityD1025,_SolventAccessibilityT23,_SolventAccessibilityD1075,_PolarityD2050,_PolarityD1075,_PolarizabilityT12,_ChargeD1001,_PolarizabilityD3050,_HydrophobicityD3025,_SecondaryStrD2050,_ChargeD2075,_SecondaryStrD3025,_PolarizabilityD3025,_SecondaryStrD3075,_SolventAccessibilityD3025,_PolarizabilityD2075,_NormalizedVDWVD1075,_NormalizedVDWVD2050,_SecondaryStrD1050,_PolarityD3075,_PolarityD2025,_PolarizabilityD2050,_HydrophobicityT23,_NormalizedVDWVD3075,_HydrophobicityD3075,_PolarizabilityD2025,_HydrophobicityD3050
Positive_798,1,0.367,0.286,0.185,0.343,0.251,0.133,0.092,0.092,0.092,0.092,0.203,0.092,0.291,0.251,0.231,0.157,0.092,0.382,0.247,0.092,0.438,0.733,0.2,2.2,0.757,0.329,0.247,0.367,0.28,0.733,0.031,0.274,0.183,0.183,0.329,1.558,0.364,0.228,0.181,0.35,0.183,0.733,0.311,70.761,0.328,0.219,2.658,0.275,0.183,0.193,50.229,75.252,0.44,0.183,0.151,0.435,22.365,97.709,25.848,0.11,75.802,0.218,70.027,0.21,27.773,49.771,49.863,50.046,23.465,22.64,0.222,49.679,72.777,72.136,48.671,24.106,0.145,75.069,50.871,76.169,0.272,0.733,49.771,25.94,49.771,75.527,23.465,22.64,72.961,29.148,75.894,76.902,48.946,49.679,71.127,25.206,50.596,0.239,72.136,77.085,25.115,51.237
Negative_170,0,0.417,0.324,0.153,0.377,0.214,0.125,0.127,0.127,0.127,0.127,0.18,0.127,0.266,0.214,0.26,0.134,0.127,0.369,0.224,0.127,0.461,1.018,0.172,0.763,0.768,0.303,0.264,0.763,0.255,1.272,0.027,0.267,0.254,0.254,0.303,0.763,0.345,0.231,0.144,0.331,0.254,1.272,0.326,65.649,0.321,0.233,4.707,0.254,0.254,0.191,43.639,70.865,0.438,0.254,0.146,0.467,19.593,98.982,21.883,0.107,69.084,0.222,78.626,0.191,24.046,43.257,55.471,63.486,26.972,19.593,0.208,45.165,75.318,64.249,56.997,20.738,0.132,68.321,57.888,65.267,0.322,1.272,43.257,21.374,47.455,75.191,28.117,19.593,83.206,30.916,76.463,80.28,48.092,45.802,75.318,27.608,50.636,0.238,64.249,65.267,25.191,45.038
Negative_203,0,0.356,0.297,0.188,0.305,0.297,0.102,0.847,0.847,0.847,0.847,0.188,0.847,0.178,0.297,0.203,0.12,0.847,0.347,0.188,0.847,0.449,5.932,0.145,2.542,0.695,0.407,0.205,3.39,0.308,5.932,0.043,0.263,1.695,1.695,0.407,5.085,0.297,0.282,0.085,0.407,1.695,5.932,0.254,71.186,0.288,0.171,29.661,3.39,1.695,0.256,33.898,72.034,0.39,1.695,0.282,0.559,18.644,80.508,23.729,0.203,59.322,0.214,63.559,0.265,27.966,44.915,53.39,50.0,35.593,18.644,0.256,46.61,72.034,71.186,53.39,23.729,0.137,67.797,39.831,75.424,0.265,5.932,44.915,23.729,43.22,77.966,16.102,18.644,82.203,16.102,78.814,67.797,50.847,50.847,72.034,13.559,50.0,0.214,71.186,72.881,23.729,46.61
Negative_318,0,0.393,0.311,0.231,0.369,0.295,0.074,0.82,0.82,0.82,0.82,0.149,0.82,0.238,0.295,0.287,0.165,0.82,0.311,0.174,0.82,0.402,3.279,0.107,1.639,0.787,0.303,0.19,2.459,0.223,3.279,0.025,0.328,2.459,8.197,0.303,2.459,0.336,0.314,0.165,0.352,1.639,3.279,0.303,77.869,0.328,0.231,4.098,8.197,8.197,0.223,51.639,65.574,0.41,8.197,0.19,0.434,28.689,96.721,18.033,0.139,68.852,0.19,54.098,0.264,25.41,50.82,37.705,56.557,10.656,18.033,0.231,41.803,74.59,74.59,54.918,23.77,0.157,81.967,56.557,68.033,0.198,5.738,50.82,19.672,50.0,70.492,27.869,18.033,80.328,15.574,68.033,83.607,43.443,40.984,72.131,27.869,45.082,0.231,74.59,68.852,23.77,42.623
Negative_336,0,0.565,0.542,0.096,0.625,0.185,0.03,0.595,0.595,0.595,0.595,0.06,0.595,0.274,0.185,0.417,0.126,0.595,0.25,0.096,0.595,0.435,1.19,0.06,4.167,0.94,0.149,0.174,1.19,0.15,1.19,0.0,0.411,2.976,1.786,0.149,1.19,0.298,0.251,0.204,0.161,1.786,1.19,0.381,68.452,0.226,0.335,22.024,1.19,1.786,0.204,27.976,71.429,0.435,1.786,0.048,0.315,2.381,96.429,27.381,0.03,72.024,0.311,63.69,0.162,25.0,42.262,26.19,50.595,22.024,20.833,0.216,51.786,82.143,69.048,53.571,38.095,0.126,78.571,48.81,74.405,0.281,2.381,42.262,34.524,51.786,74.405,23.214,20.833,75.0,17.857,75.0,72.619,49.405,44.048,82.143,24.405,46.429,0.275,69.048,82.738,17.857,52.976
Positive_357,1,0.395,0.337,0.174,0.395,0.244,0.071,0.161,0.161,0.161,0.161,0.131,0.161,0.369,0.244,0.256,0.149,0.161,0.361,0.16,0.161,0.429,0.484,0.105,0.968,0.863,0.19,0.263,0.968,0.186,0.484,0.027,0.273,0.968,0.323,0.19,1.29,0.453,0.168,0.197,0.21,0.323,0.484,0.327,84.032,0.415,0.281,3.226,0.323,0.323,0.124,45.645,76.613,0.553,0.323,0.102,0.358,13.71,98.065,25.161,0.066,75.806,0.315,71.935,0.215,26.774,53.548,48.548,45.806,20.323,25.0,0.137,51.935,75.161,80.323,50.484,25.0,0.082,75.323,48.226,75.645,0.278,0.484,53.548,25.0,52.581,74.516,24.032,25.0,68.065,27.419,73.871,73.387,48.387,49.194,75.161,26.29,47.419,0.347,80.323,74.677,22.097,51.935
Positive_1150,1,0.393,0.318,0.174,0.38,0.247,0.14,0.222,0.222,0.222,0.222,0.212,0.222,0.284,0.247,0.28,0.131,0.222,0.36,0.265,0.222,0.422,0.444,0.214,0.889,0.776,0.318,0.241,0.667,0.272,0.444,0.013,0.296,0.889,2.0,0.318,0.667,0.34,0.227,0.16,0.342,1.333,0.444,0.331,72.0,0.302,0.232,0.667,2.222,2.0,0.209,56.0,79.778,0.402,2.0,0.131,0.42,26.889,98.889,25.778,0.084,72.444,0.205,90.444,0.207,25.778,57.778,46.444,40.889,24.667,23.556,0.236,47.778,82.222,75.778,47.556,21.778,0.176,69.556,49.111,71.778,0.296,0.444,57.778,26.0,46.667,72.444,20.667,23.556,70.889,30.667,74.889,70.0,46.667,56.444,79.778,23.778,46.889,0.227,75.778,71.778,25.778,48.222
Negative_600,0,0.459,0.357,0.118,0.4,0.17,0.111,0.328,0.328,0.328,0.328,0.207,0.328,0.22,0.17,0.249,0.105,0.328,0.37,0.234,0.328,0.482,5.246,0.174,1.311,0.82,0.275,0.148,1.639,0.263,5.246,0.016,0.344,0.656,0.656,0.275,1.639,0.344,0.339,0.161,0.298,0.656,5.246,0.348,65.246,0.325,0.263,5.574,0.656,0.656,0.178,44.262,71.148,0.475,0.656,0.115,0.436,30.82,98.033,21.639,0.069,76.393,0.257,84.59,0.171,25.902,61.967,46.23,49.18,24.59,28.197,0.201,45.246,81.639,79.344,47.541,23.607,0.145,64.262,52.459,65.902,0.355,5.246,61.967,20.984,50.82,74.098,22.623,28.197,76.721,18.689,75.738,74.098,44.918,48.197,82.951,22.623,48.852,0.276,79.344,62.295,24.59,41.311
Negative_1209,0,0.512,0.457,0.081,0.481,0.13,0.123,0.617,0.617,0.617,0.617,0.093,0.617,0.333,0.13,0.321,0.068,0.617,0.358,0.118,0.617,0.395,1.852,0.149,1.235,0.821,0.216,0.23,2.469,0.143,1.852,0.025,0.321,1.235,3.086,0.216,2.469,0.315,0.236,0.205,0.228,3.086,1.852,0.475,75.926,0.302,0.242,12.963,3.086,3.086,0.18,48.765,69.136,0.463,3.086,0.075,0.346,36.42,76.543,11.728,0.056,80.247,0.248,58.025,0.087,31.481,48.765,35.185,45.679,20.37,10.494,0.18,49.383,69.136,88.889,45.679,16.049,0.13,82.716,46.914,85.185,0.404,1.852,48.765,11.728,54.938,77.16,24.691,10.494,70.37,32.099,79.63,67.901,51.235,48.765,68.519,24.074,51.235,0.248,88.889,83.951,25.309,49.383
Negative_816,0,0.361,0.288,0.17,0.324,0.196,0.146,0.457,0.457,0.457,0.457,0.216,0.457,0.237,0.196,0.256,0.11,0.457,0.443,0.252,0.457,0.539,1.37,0.197,5.936,0.758,0.342,0.234,1.37,0.248,1.37,0.032,0.265,0.913,0.913,0.342,1.37,0.352,0.206,0.142,0.361,0.913,1.37,0.265,52.055,0.333,0.216,1.37,1.826,0.913,0.179,16.895,70.776,0.402,0.913,0.151,0.498,10.046,97.26,29.68,0.096,79.909,0.206,59.817,0.197,40.639,29.68,43.836,48.858,31.05,11.872,0.188,53.881,58.904,65.297,58.447,31.507,0.156,78.539,60.274,71.233,0.284,2.74,29.68,31.507,63.47,76.256,22.374,11.872,73.973,22.831,70.776,81.735,46.119,43.836,64.84,22.831,48.402,0.216,65.297,72.146,30.594,55.708
